P_a_m,sigma_s_per_m,R_m,E_v_per_m,relative_to_sigma4
300.0,3.0,10.0,0.007957747154594767,1.3333333333333333
300.0,3.0,30.0,0.00029473137609610246,1.3333333333333333
300.0,3.0,50.0,6.366197723675813e-05,1.3333333333333333
300.0,3.0,100.0,7.957747154594767e-06,1.3333333333333333
300.0,3.0,300.0,2.9473137609610246e-07,1.3333333333333333
300.0,3.0,500.0,6.366197723675814e-08,1.3333333333333335
300.0,3.0,1000.0,7.957747154594767e-09,1.3333333333333335
300.0,3.0,3000.0,2.9473137609610246e-10,1.333333333333333
300.0,4.0,10.0,0.005968310365946076,1.0
300.0,4.0,30.0,0.00022104853207207686,1.0
300.0,4.0,50.0,4.77464829275686e-05,1.0
300.0,4.0,100.0,5.968310365946075e-06,1.0
300.0,4.0,300.0,2.2104853207207685e-07,1.0
300.0,4.0,500.0,4.77464829275686e-08,1.0
300.0,4.0,1000.0,5.968310365946075e-09,1.0
300.0,4.0,3000.0,2.2104853207207688e-10,1.0
300.0,5.0,10.0,0.00477464829275686,0.7999999999999999
300.0,5.0,30.0,0.00017683882565766148,0.7999999999999999
300.0,5.0,50.0,3.819718634205488e-05,0.7999999999999999
300.0,5.0,100.0,4.77464829275686e-06,0.7999999999999999
300.0,5.0,300.0,1.768388256576615e-07,0.8
300.0,5.0,500.0,3.819718634205488e-08,0.8
300.0,5.0,1000.0,4.77464829275686e-09,0.8
300.0,5.0,3000.0,1.768388256576615e-10,0.7999999999999999
300.0,6.0,10.0,0.0039788735772973835,0.6666666666666666
300.0,6.0,30.0,0.00014736568804805123,0.6666666666666666
300.0,6.0,50.0,3.183098861837907e-05,0.6666666666666666
300.0,6.0,100.0,3.9788735772973834e-06,0.6666666666666666
300.0,6.0,300.0,1.4736568804805123e-07,0.6666666666666666
300.0,6.0,500.0,3.183098861837907e-08,0.6666666666666667
300.0,6.0,1000.0,3.9788735772973836e-09,0.6666666666666667
300.0,6.0,3000.0,1.4736568804805123e-10,0.6666666666666665
