S_E_sqrt_v_per_m_sqrt_hz,T_int_s,gamma,E_min_v_per_m,static_100m_status,shaft1_100m_status,static_100m_margin_db,shaft1_100m_margin_db,static_300m_status,shaft1_300m_status,static_300m_margin_db,shaft1_300m_margin_db,static_1000m_status,shaft1_1000m_status,static_1000m_margin_db,shaft1_1000m_margin_db
1e-12,10.0,2.0,6.324555320336758e-13,稳健可测,稳健可测,139.49642807411246,109.0388531685057,稳健可测,稳健可测,110.8691527909327,80.41157788532595,稳健可测,稳健可测,79.49642807411246,49.038853168505696
1e-12,100.0,2.0,2e-13,稳健可测,稳健可测,149.49642807411243,119.0388531685057,稳健可测,稳健可测,120.8691527909327,90.41157788532595,稳健可测,稳健可测,89.49642807411244,59.038853168505696
1e-12,1000.0,2.0,6.324555320336759e-14,稳健可测,稳健可测,159.49642807411243,129.03885316850568,稳健可测,稳健可测,130.8691527909327,100.41157788532595,稳健可测,稳健可测,99.49642807411244,69.0388531685057
1e-11,10.0,2.0,6.324555320336758e-12,稳健可测,稳健可测,119.49642807411246,89.0388531685057,稳健可测,稳健可测,90.8691527909327,60.411577885325954,稳健可测,稳健可测,59.49642807411245,29.0388531685057
1e-11,100.0,2.0,2e-12,稳健可测,稳健可测,129.49642807411243,99.0388531685057,稳健可测,稳健可测,100.8691527909327,70.41157788532595,稳健可测,稳健可测,69.49642807411246,39.0388531685057
1e-11,1000.0,2.0,6.324555320336758e-13,稳健可测,稳健可测,139.49642807411246,109.0388531685057,稳健可测,稳健可测,110.8691527909327,80.41157788532595,稳健可测,稳健可测,79.49642807411246,49.038853168505696
1e-10,10.0,2.0,6.324555320336759e-11,稳健可测,稳健可测,99.49642807411244,69.03885316850571,稳健可测,稳健可测,70.8691527909327,40.411577885325954,稳健可测,临界可测,39.49642807411245,9.0388531685057
1e-10,100.0,2.0,2.0000000000000002e-11,稳健可测,稳健可测,109.49642807411244,79.0388531685057,稳健可测,稳健可测,80.8691527909327,50.41157788532595,稳健可测,临界可测,49.49642807411245,19.0388531685057
1e-10,1000.0,2.0,6.324555320336759e-12,稳健可测,稳健可测,119.49642807411244,89.0388531685057,稳健可测,稳健可测,90.8691527909327,60.411577885325954,稳健可测,稳健可测,59.49642807411245,29.0388531685057
1e-09,10.0,2.0,6.324555320336759e-10,稳健可测,稳健可测,79.49642807411246,49.038853168505696,稳健可测,稳健可测,50.8691527909327,20.411577885325954,临界可测,不可测,19.49642807411245,-10.9611468314943
1e-09,100.0,2.0,2e-10,稳健可测,稳健可测,89.49642807411244,59.0388531685057,稳健可测,稳健可测,60.8691527909327,30.411577885325954,稳健可测,不可测,29.49642807411245,-0.9611468314942999
1e-09,1000.0,2.0,6.324555320336759e-11,稳健可测,稳健可测,99.49642807411244,69.03885316850571,稳健可测,稳健可测,70.8691527909327,40.411577885325954,稳健可测,临界可测,39.49642807411245,9.0388531685057
1e-08,10.0,2.0,6.324555320336758e-09,稳健可测,稳健可测,59.49642807411245,29.0388531685057,稳健可测,临界可测,30.869152790932706,0.4115778853259539,不可测,不可测,-0.5035719258875474,-30.9611468314943
1e-08,100.0,2.0,2e-09,稳健可测,稳健可测,69.49642807411246,39.0388531685057,稳健可测,临界可测,40.8691527909327,10.411577885325954,临界可测,不可测,9.496428074112451,-20.9611468314943
1e-08,1000.0,2.0,6.324555320336759e-10,稳健可测,稳健可测,79.49642807411246,49.038853168505696,稳健可测,稳健可测,50.8691527909327,20.411577885325954,临界可测,不可测,19.49642807411245,-10.9611468314943
