P0_a_m,R_m,frequency_hz,m_n,S_E_sqrt_v_per_m_sqrt_hz,T_int_s,gamma,E_min_v_per_m,E_shaft_baseline_quasi_static_v_per_m,detectable_baseline,margin_db
30.0,100.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,1.7904931097838226e-08,yes,89.0388531685057
30.0,300.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,6.631455962162306e-10,yes,60.411577885325954
30.0,1000.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,1.7904931097838226e-11,yes,29.0388531685057
100.0,100.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,5.968310365946075e-08,yes,99.49642807411244
100.0,300.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,2.2104853207207685e-09,yes,70.8691527909327
100.0,1000.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,5.968310365946076e-11,yes,39.49642807411245
300.0,100.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,1.7904931097838226e-07,yes,109.0388531685057
300.0,300.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,6.631455962162305e-09,yes,80.41157788532595
300.0,1000.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,1.7904931097838224e-10,yes,49.038853168505696
1000.0,100.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,5.968310365946076e-07,yes,119.49642807411246
1000.0,300.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,2.2104853207207683e-08,yes,90.8691527909327
1000.0,1000.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,5.968310365946075e-10,yes,59.49642807411245
3000.0,100.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,1.7904931097838226e-06,yes,129.03885316850568
3000.0,300.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,6.631455962162305e-08,yes,100.41157788532595
3000.0,1000.0,3.0,0.03,1e-12,10.0,2.0,6.324555320336758e-13,1.7904931097838224e-09,yes,69.0388531685057
30.0,100.0,3.0,0.03,1e-12,100.0,2.0,2e-13,1.7904931097838226e-08,yes,99.0388531685057
30.0,300.0,3.0,0.03,1e-12,100.0,2.0,2e-13,6.631455962162306e-10,yes,70.41157788532595
30.0,1000.0,3.0,0.03,1e-12,100.0,2.0,2e-13,1.7904931097838226e-11,yes,39.0388531685057
100.0,100.0,3.0,0.03,1e-12,100.0,2.0,2e-13,5.968310365946075e-08,yes,109.49642807411244
100.0,300.0,3.0,0.03,1e-12,100.0,2.0,2e-13,2.2104853207207685e-09,yes,80.8691527909327
100.0,1000.0,3.0,0.03,1e-12,100.0,2.0,2e-13,5.968310365946076e-11,yes,49.49642807411245
