R0_m,speed_m_per_s,time_s,R_m
50.0,5.0,-300.0,1500.8331019803634
50.0,5.0,-240.0,1201.0412149464314
50.0,5.0,-180.0,901.3878188659974
50.0,5.0,-120.0,602.0797289396148
50.0,5.0,-60.0,304.138126514911
50.0,5.0,0.0,50.0
50.0,5.0,60.0,304.138126514911
50.0,5.0,120.0,602.0797289396148
50.0,5.0,180.0,901.3878188659974
50.0,5.0,240.0,1201.0412149464314
50.0,5.0,300.0,1500.8331019803634
100.0,5.0,-300.0,1503.3296378372909
100.0,5.0,-240.0,1204.1594578792296
100.0,5.0,-180.0,905.5385138137417
100.0,5.0,-120.0,608.276253029822
100.0,5.0,-60.0,316.22776601683796
100.0,5.0,0.0,100.0
100.0,5.0,60.0,316.22776601683796
100.0,5.0,120.0,608.276253029822
100.0,5.0,180.0,905.5385138137417
100.0,5.0,240.0,1204.1594578792296
100.0,5.0,300.0,1503.3296378372909
300.0,5.0,-300.0,1529.7058540778355
300.0,5.0,-240.0,1236.9316876852981
300.0,5.0,-180.0,948.6832980505138
300.0,5.0,-120.0,670.820393249937
300.0,5.0,-60.0,424.26406871192853
300.0,5.0,0.0,300.0
300.0,5.0,60.0,424.26406871192853
300.0,5.0,120.0,670.820393249937
300.0,5.0,180.0,948.6832980505138
300.0,5.0,240.0,1236.9316876852981
300.0,5.0,300.0,1529.7058540778355
500.0,5.0,-300.0,1581.1388300841897
500.0,5.0,-240.0,1300.0
500.0,5.0,-180.0,1029.5630140987
500.0,5.0,-120.0,781.0249675906655
500.0,5.0,-60.0,583.09518948453
500.0,5.0,0.0,500.0
500.0,5.0,60.0,583.09518948453
500.0,5.0,120.0,781.0249675906655
500.0,5.0,180.0,1029.5630140987
500.0,5.0,240.0,1300.0
500.0,5.0,300.0,1581.1388300841897
1000.0,5.0,-300.0,1802.7756377319947
1000.0,5.0,-240.0,1562.049935181331
1000.0,5.0,-180.0,1345.362404707371
1000.0,5.0,-120.0,1166.19037896906
1000.0,5.0,-60.0,1044.030650891055
1000.0,5.0,0.0,1000.0
1000.0,5.0,60.0,1044.030650891055
1000.0,5.0,120.0,1166.19037896906
1000.0,5.0,180.0,1345.362404707371
1000.0,5.0,240.0,1562.049935181331
1000.0,5.0,300.0,1802.7756377319947
