time_s,R0_m,speed_m_per_s,R_m,E_env_v_per_m,E_shaft_v_per_m
-300.0,300.0,5.0,1529.7058540778355,1.6673532226132552e-09,1.1421369574900799e-10
-299.5,300.0,5.0,1527.2544810868947,1.6753948463655851e-09,-3.937177888959125e-11
-299.0,300.0,5.0,1524.8032659986009,1.6834877432277582e-09,1.1531891041110145e-10
-298.5,300.0,5.0,1522.3522095756948,1.6916323182232893e-09,-3.97533594782473e-11
-298.0,300.0,5.0,1519.9013125857875,1.699828980179095e-09,1.1643828514226803e-10
-297.5,300.0,5.0,1517.4505758014,1.708078141766741e-09,-4.0139836331518414e-11
-297.0,300.0,5.0,1515.0,1.716380219544206e-09,1.1757204503877812e-10
-296.5,300.0,5.0,1512.5495859640437,1.724735633998146e-09,-4.053128739895643e-11
-296.0,300.0,5.0,1510.0993344810136,1.7331448095866895e-09,1.1872041945668825e-10
-295.5,300.0,5.0,1507.649246343459,1.741608174782752e-09,-4.092779210739467e-11
-295.0,300.0,5.0,1505.199322349037,1.7501261621178873e-09,1.1988364210507528e-10
-294.5,300.0,5.0,1502.7495633005522,1.7586992082266786e-09,-4.132943139332695e-11
-294.0,300.0,5.0,1500.2999700059986,1.7673277538916826e-09,1.2106195114158027e-10
-293.5,300.0,5.0,1497.850543278601,1.776012244088924e-09,-4.173628773608971e-11
-293.0,300.0,5.0,1495.4012839368568,1.7847531280339564e-09,1.2225558927032602e-10
-292.5,300.0,5.0,1492.9521928045788,1.793550859228496e-09,-4.214844519186966e-11
-292.0,300.0,5.0,1490.5032707109367,1.8024058955076364e-09,1.234648038422731e-10
-291.5,300.0,5.0,1488.054518490502,1.8113186990876433e-09,-4.256598942855962e-11
-291.0,300.0,5.0,1485.6059369832903,1.8202897366143533e-09,1.246898469580832e-10
-290.5,300.0,5.0,1483.1575270348055,1.8293194792121758e-09,-4.298900776148613e-11
-290.0,300.0,5.0,1480.7092894960847,1.8384084025336984e-09,1.2593097557355835e-10
-289.5,300.0,5.0,1478.2612252237425,1.8475569868099257e-09,-4.341758919003325e-11
-289.0,300.0,5.0,1475.813335080016,1.8567657169011388e-09,1.27188451607728e-10
-288.5,300.0,5.0,1473.3656199328123,1.8660350823483934e-09,-4.3851824435187244e-11
-288.0,300.0,5.0,1470.9180806557515,1.875365577425673e-09,1.284625420536586e-10
-287.5,300.0,5.0,1468.4707181282165,1.8847577011926858e-09,-4.429180597802812e-11
-287.0,300.0,5.0,1466.023533235398,1.8942119575483374e-09,1.2975351909206113e-10
-286.5,300.0,5.0,1463.5765268683424,1.903728855284873e-09,-4.4737628099194516e-11
