channel,time_s,E_x_v_per_m,baseline_m,deltaV_v,gradient_v_per_m
x_0p5m,-200.0,5.244591327395431e-09,0.5,-2.6222956636977153e-09,-5.244591327395431e-09
x_0p5m,-196.0,5.543950318607664e-09,0.5,-2.771975159303832e-09,-5.543950318607664e-09
x_0p5m,-192.0,5.8659474543158215e-09,0.5,-2.9329737271579107e-09,-5.8659474543158215e-09
x_0p5m,-188.0,6.212702413427765e-09,0.5,-3.1063512067138827e-09,-6.212702413427765e-09
x_0p5m,-184.0,6.586569698233241e-09,0.5,-3.2932848491166207e-09,-6.586569698233241e-09
x_0p5m,-180.0,6.990168347845421e-09,0.5,-3.4950841739227106e-09,-6.990168347845421e-09
x_0p5m,-176.0,7.426415810729921e-09,0.5,-3.7132079053649607e-09,-7.426415810729921e-09
x_0p5m,-172.0,7.898566597591152e-09,0.5,-3.949283298795576e-09,-7.898566597591152e-09
x_0p5m,-168.0,8.410256429734583e-09,0.5,-4.205128214867292e-09,-8.410256429734583e-09
x_0p5m,-164.0,8.965552704563501e-09,0.5,-4.482776352281751e-09,-8.965552704563501e-09
x_0p5m,-160.0,9.569012219902556e-09,0.5,-4.784506109951278e-09,-9.569012219902556e-09
x_0p5m,-156.0,1.0225747232707627e-08,0.5,-5.1128736163538134e-09,-1.0225747232707627e-08
x_0p5m,-152.0,1.094150107496334e-08,0.5,-5.47075053748167e-09,-1.094150107496334e-08
x_0p5m,-148.0,1.1722734708423116e-08,0.5,-5.861367354211558e-09,-1.1722734708423116e-08
x_0p5m,-144.0,1.2576725766504146e-08,0.5,-6.288362883252073e-09,-1.2576725766504146e-08
x_0p5m,-140.0,1.3511681799173873e-08,0.5,-6.755840899586937e-09,-1.3511681799173873e-08
x_0p5m,-136.0,1.4536869593422089e-08,0.5,-7.2684347967110445e-09,-1.4536869593422089e-08
x_0p5m,-132.0,1.5662762569328785e-08,0.5,-7.831381284664392e-09,-1.5662762569328785e-08
x_0p5m,-128.0,1.6901208321100063e-08,0.5,-8.450604160550031e-09,-1.6901208321100063e-08
x_0p5m,-124.0,1.8265618340401005e-08,0.5,-9.132809170200503e-09,-1.8265618340401005e-08
x_0p5m,-120.0,1.9771181761588248e-08,0.5,-9.885590880794124e-09,-1.9771181761588248e-08
x_0p5m,-116.0,2.143510451115935e-08,0.5,-1.0717552255579675e-08,-2.143510451115935e-08
x_0p5m,-112.0,2.327687439162102e-08,0.5,-1.163843719581051e-08,-2.327687439162102e-08
x_0p5m,-108.0,2.5318551190617286e-08,0.5,-1.2659275595308643e-08,-2.5318551190617286e-08
x_0p5m,-104.0,2.758507860948806e-08,0.5,-1.379253930474403e-08,-2.758507860948806e-08
x_0p5m,-100.0,3.010461127797415e-08,0.5,-1.5052305638987077e-08,-3.010461127797415e-08
x_0p5m,-96.0,3.2908844856028e-08,0.5,-1.6454422428014e-08,-3.2908844856028e-08
x_0p5m,-92.0,3.60333295448779e-08,0.5,-1.801666477243895e-08,-3.60333295448779e-08
x_0p5m,-88.0,3.951773636609155e-08,0.5,-1.9758868183045775e-08,-3.951773636609155e-08
x_0p5m,-84.0,4.3406030238456664e-08,0.5,-2.1703015119228332e-08,-4.3406030238456664e-08
x_0p5m,-80.0,4.77464829275686e-08,0.5,-2.38732414637843e-08,-4.77464829275686e-08
x_0p5m,-76.0,5.259143103989547e-08,0.5,-2.6295715519947735e-08,-5.259143103989547e-08
x_0p5m,-72.0,5.799664827921191e-08,0.5,-2.8998324139605955e-08,-5.799664827921191e-08
x_0p5m,-68.0,6.402015685732226e-08,0.5,-3.201007842866113e-08,-6.402015685732226e-08
x_0p5m,-64.0,7.072025171862963e-08,0.5,-3.5360125859314816e-08,-7.072025171862963e-08
x_0p5m,-60.0,7.815245799974879e-08,0.5,-3.9076228999874396e-08,-7.815245799974879e-08
x_0p5m,-56.0,8.636509769464379e-08,0.5,-4.3182548847321896e-08,-8.636509769464379e-08
x_0p5m,-52.0,9.53931257666402e-08,0.5,-4.76965628833201e-08,-9.53931257666402e-08
x_0p5m,-48.0,1.0524994150503182e-07,0.5,-5.262497075251591e-08,-1.0524994150503182e-07
x_0p5m,-44.0,1.159170350654217e-07,0.5,-5.795851753271085e-08,-1.159170350654217e-07
x_0p5m,-40.0,1.2733165119705218e-07,0.5,-6.366582559852609e-08,-1.2733165119705218e-07
x_0p5m,-36.0,1.393732003609914e-07,0.5,-6.96866001804957e-08,-1.393732003609914e-07
x_0p5m,-32.0,1.5184994824817004e-07,0.5,-7.592497412408502e-08,-1.5184994824817004e-07
x_0p5m,-28.0,1.6448851058027083e-07,0.5,-8.224425529013542e-08,-1.6448851058027083e-07
x_0p5m,-24.0,1.7692966343390174e-07,0.5,-8.846483171695087e-08,-1.7692966343390174e-07
x_0p5m,-20.0,1.8873454539182632e-07,0.5,-9.436727269591316e-08,-1.8873454539182632e-07
x_0p5m,-16.0,1.994049103029529e-07,0.5,-9.970245515147645e-08,-1.994049103029529e-07
x_0p5m,-12.0,2.0841915282665689e-07,0.5,-1.0420957641332844e-07,-2.0841915282665689e-07
x_0p5m,-8.0,2.1528223270229744e-07,0.5,-1.0764111635114872e-07,-2.1528223270229744e-07
x_0p5m,-4.0,2.195830199344669e-07,0.5,-1.0979150996723345e-07,-2.195830199344669e-07
x_0p5m,0.0,2.2104853207207685e-07,0.5,-1.1052426603603842e-07,-2.2104853207207685e-07
x_0p5m,4.0,2.195830199344669e-07,0.5,-1.0979150996723345e-07,-2.195830199344669e-07
x_0p5m,8.0,2.1528223270229744e-07,0.5,-1.0764111635114872e-07,-2.1528223270229744e-07
x_0p5m,12.0,2.0841915282665689e-07,0.5,-1.0420957641332844e-07,-2.0841915282665689e-07
x_0p5m,16.0,1.994049103029529e-07,0.5,-9.970245515147645e-08,-1.994049103029529e-07
x_0p5m,20.0,1.8873454539182632e-07,0.5,-9.436727269591316e-08,-1.8873454539182632e-07
x_0p5m,24.0,1.7692966343390174e-07,0.5,-8.846483171695087e-08,-1.7692966343390174e-07
x_0p5m,28.0,1.6448851058027083e-07,0.5,-8.224425529013542e-08,-1.6448851058027083e-07
x_0p5m,32.0,1.5184994824817004e-07,0.5,-7.592497412408502e-08,-1.5184994824817004e-07
x_0p5m,36.0,1.393732003609914e-07,0.5,-6.96866001804957e-08,-1.393732003609914e-07
x_0p5m,40.0,1.2733165119705218e-07,0.5,-6.366582559852609e-08,-1.2733165119705218e-07
x_0p5m,44.0,1.159170350654217e-07,0.5,-5.795851753271085e-08,-1.159170350654217e-07
x_0p5m,48.0,1.0524994150503182e-07,0.5,-5.262497075251591e-08,-1.0524994150503182e-07
x_0p5m,52.0,9.53931257666402e-08,0.5,-4.76965628833201e-08,-9.53931257666402e-08
x_0p5m,56.0,8.636509769464379e-08,0.5,-4.3182548847321896e-08,-8.636509769464379e-08
x_0p5m,60.0,7.815245799974879e-08,0.5,-3.9076228999874396e-08,-7.815245799974879e-08
x_0p5m,64.0,7.072025171862963e-08,0.5,-3.5360125859314816e-08,-7.072025171862963e-08
x_0p5m,68.0,6.402015685732226e-08,0.5,-3.201007842866113e-08,-6.402015685732226e-08
x_0p5m,72.0,5.799664827921191e-08,0.5,-2.8998324139605955e-08,-5.799664827921191e-08
x_0p5m,76.0,5.259143103989547e-08,0.5,-2.6295715519947735e-08,-5.259143103989547e-08
x_0p5m,80.0,4.77464829275686e-08,0.5,-2.38732414637843e-08,-4.77464829275686e-08
x_0p5m,84.0,4.3406030238456664e-08,0.5,-2.1703015119228332e-08,-4.3406030238456664e-08
x_0p5m,88.0,3.951773636609155e-08,0.5,-1.9758868183045775e-08,-3.951773636609155e-08
x_0p5m,92.0,3.60333295448779e-08,0.5,-1.801666477243895e-08,-3.60333295448779e-08
x_0p5m,96.0,3.2908844856028e-08,0.5,-1.6454422428014e-08,-3.2908844856028e-08
x_0p5m,100.0,3.010461127797415e-08,0.5,-1.5052305638987077e-08,-3.010461127797415e-08
x_0p5m,104.0,2.758507860948806e-08,0.5,-1.379253930474403e-08,-2.758507860948806e-08
x_0p5m,108.0,2.5318551190617286e-08,0.5,-1.2659275595308643e-08,-2.5318551190617286e-08
x_0p5m,112.0,2.327687439162102e-08,0.5,-1.163843719581051e-08,-2.327687439162102e-08
x_0p5m,116.0,2.143510451115935e-08,0.5,-1.0717552255579675e-08,-2.143510451115935e-08
x_0p5m,120.0,1.9771181761588248e-08,0.5,-9.885590880794124e-09,-1.9771181761588248e-08
x_0p5m,124.0,1.8265618340401005e-08,0.5,-9.132809170200503e-09,-1.8265618340401005e-08
x_0p5m,128.0,1.6901208321100063e-08,0.5,-8.450604160550031e-09,-1.6901208321100063e-08
x_0p5m,132.0,1.5662762569328785e-08,0.5,-7.831381284664392e-09,-1.5662762569328785e-08
x_0p5m,136.0,1.4536869593422089e-08,0.5,-7.2684347967110445e-09,-1.4536869593422089e-08
x_0p5m,140.0,1.3511681799173873e-08,0.5,-6.755840899586937e-09,-1.3511681799173873e-08
