P0_a_m,sigma_s_per_m,R_m,fs_hz,harmonic,frequency_hz,m_n,E_shaft_baseline_quasi_static_v_per_m,E_shaft_optional_conservative_v_per_m
30.0,4.0,10.0,3.0,1,3.0,0.03,1.7904931097838228e-05,1.671401031490353e-05
30.0,4.0,10.0,3.0,2,6.0,0.015,8.952465548919114e-06,8.122112548858396e-06
30.0,4.0,10.0,3.0,3,9.0,0.01,5.968310365946076e-06,5.297573085964503e-06
30.0,4.0,10.0,3.0,4,12.0,0.0075,4.476232774459557e-06,3.900575479461496e-06
30.0,4.0,10.0,3.0,5,15.0,0.006,3.5809862195676457e-06,3.0701679384514815e-06
30.0,4.0,30.0,3.0,1,3.0,0.03,6.631455962162305e-07,5.39427304020635e-07
30.0,4.0,30.0,3.0,2,6.0,0.015,3.3157279810811527e-07,2.4760415530076626e-07
30.0,4.0,30.0,3.0,3,9.0,0.01,2.2104853207207685e-07,1.5458391715280945e-07
30.0,4.0,30.0,3.0,4,12.0,0.0075,1.6578639905405763e-07,1.0969756037861508e-07
30.0,4.0,30.0,3.0,5,15.0,0.006,1.326291192432461e-07,8.358288020813413e-08
30.0,4.0,50.0,3.0,1,3.0,0.03,1.432394487827058e-07,1.0153194361034831e-07
30.0,4.0,50.0,3.0,2,6.0,0.015,7.16197243913529e-08,4.4021452646105025e-08
30.0,4.0,50.0,3.0,3,9.0,0.01,4.7746482927568606e-08,2.6306869749992204e-08
30.0,4.0,50.0,3.0,4,12.0,0.0075,3.580986219567645e-08,1.799213774714621e-08
30.0,4.0,50.0,3.0,5,15.0,0.006,2.8647889756541166e-08,1.3270584397653664e-08
30.0,4.0,100.0,3.0,1,3.0,0.03,1.7904931097838226e-08,8.996068873573105e-09
30.0,4.0,100.0,3.0,2,6.0,0.015,8.952465548919113e-09,3.382253124998133e-09
30.0,4.0,100.0,3.0,3,9.0,0.01,5.968310365946076e-09,1.8117863180961846e-09
30.0,4.0,100.0,3.0,4,12.0,0.0075,4.476232774459557e-09,1.129985571235205e-09
30.0,4.0,100.0,3.0,5,15.0,0.006,3.5809862195676457e-09,7.6841789985176e-10
30.0,4.0,300.0,3.0,1,3.0,0.03,6.631455962162306e-10,8.411031177971254e-11
30.0,4.0,300.0,3.0,2,6.0,0.015,3.315727981081153e-10,1.7880071005315417e-11
30.0,4.0,300.0,3.0,3,9.0,0.01,2.2104853207207686e-10,6.183784754618203e-12
30.0,4.0,300.0,3.0,4,12.0,0.0075,1.6578639905405765e-10,2.6670404614183957e-12
30.0,4.0,300.0,3.0,5,15.0,0.006,1.326291192432461e-10,1.3104587505842966e-12
30.0,4.0,500.0,3.0,1,3.0,0.03,1.432394487827058e-10,4.586308128795489e-12
30.0,4.0,500.0,3.0,2,6.0,0.015,7.16197243913529e-11,5.51251630273442e-13
30.0,4.0,500.0,3.0,3,9.0,0.01,4.7746482927568604e-11,1.2308900699132474e-13
30.0,4.0,500.0,3.0,4,12.0,0.0075,3.580986219567645e-11,3.6711643389811725e-14
30.0,4.0,500.0,3.0,5,15.0,0.006,2.864788975654116e-11,1.303367095537039e-14
30.0,4.0,1000.0,3.0,1,3.0,0.03,1.7904931097838226e-11,1.8355821694905863e-14
30.0,4.0,1000.0,3.0,2,6.0,0.015,8.952465548919113e-12,5.303677905451016e-16
30.0,4.0,1000.0,3.0,3,9.0,0.01,5.9683103659460755e-12,3.966497298108404e-17
30.0,4.0,1000.0,3.0,4,12.0,0.0075,4.4762327744595564e-12,4.704516709029072e-18
30.0,4.0,1000.0,3.0,5,15.0,0.006,3.580986219567645e-12,7.412264045298392e-19
30.0,4.0,3000.0,3.0,1,3.0,0.03,6.631455962162306e-13,7.145167576691814e-22
30.0,4.0,3000.0,3.0,2,6.0,0.015,3.315727981081153e-13,6.89417563021565e-26
30.0,4.0,3000.0,3.0,3,9.0,0.01,2.2104853207207688e-13,6.488658615918915e-29
30.0,4.0,3000.0,3.0,4,12.0,0.0075,1.6578639905405764e-13,1.9246685792044783e-31
30.0,4.0,3000.0,3.0,5,15.0,0.006,1.3262911924324613e-13,1.176206517107996e-33
100.0,4.0,10.0,3.0,1,3.0,0.03,5.968310365946075e-05,5.571336771634509e-05
100.0,4.0,10.0,3.0,2,6.0,0.015,2.9841551829730377e-05,2.707370849619465e-05
100.0,4.0,10.0,3.0,3,9.0,0.01,1.989436788648692e-05,1.765857695321501e-05
100.0,4.0,10.0,3.0,4,12.0,0.0075,1.4920775914865188e-05,1.300191826487165e-05
100.0,4.0,10.0,3.0,5,15.0,0.006,1.193662073189215e-05,1.0233893128171604e-05
100.0,4.0,30.0,3.0,1,3.0,0.03,2.2104853207207682e-06,1.7980910134021167e-06
100.0,4.0,30.0,3.0,2,6.0,0.015,1.1052426603603841e-06,8.253471843358874e-07
100.0,4.0,30.0,3.0,3,9.0,0.01,7.368284402402562e-07,5.152797238426981e-07
100.0,4.0,30.0,3.0,4,12.0,0.0075,5.526213301801921e-07,3.6565853459538357e-07
100.0,4.0,30.0,3.0,5,15.0,0.006,4.420970641441537e-07,2.7860960069378045e-07
100.0,4.0,50.0,3.0,1,3.0,0.03,4.77464829275686e-07,3.3843981203449437e-07
100.0,4.0,50.0,3.0,2,6.0,0.015,2.38732414637843e-07,1.4673817548701676e-07
100.0,4.0,50.0,3.0,3,9.0,0.01,1.5915494309189535e-07,8.768956583330734e-08
100.0,4.0,50.0,3.0,4,12.0,0.0075,1.193662073189215e-07,5.997379249048736e-08
100.0,4.0,50.0,3.0,5,15.0,0.006,9.54929658551372e-08,4.4235281325512206e-08
100.0,4.0,100.0,3.0,1,3.0,0.03,5.968310365946075e-08,2.998689624524368e-08
100.0,4.0,100.0,3.0,2,6.0,0.015,2.9841551829730376e-08,1.127417708332711e-08
100.0,4.0,100.0,3.0,3,9.0,0.01,1.989436788648692e-08,6.039287726987281e-09
100.0,4.0,100.0,3.0,4,12.0,0.0075,1.4920775914865188e-08,3.766618570784016e-09
100.0,4.0,100.0,3.0,5,15.0,0.006,1.193662073189215e-08,2.5613929995058664e-09
100.0,4.0,300.0,3.0,1,3.0,0.03,2.2104853207207685e-09,2.8036770593237513e-10
100.0,4.0,300.0,3.0,2,6.0,0.015,1.1052426603603843e-09,5.960023668438472e-11
100.0,4.0,300.0,3.0,3,9.0,0.01,7.368284402402562e-10,2.0612615848727344e-11
100.0,4.0,300.0,3.0,4,12.0,0.0075,5.526213301801921e-10,8.890134871394652e-12
100.0,4.0,300.0,3.0,5,15.0,0.006,4.420970641441537e-10,4.368195835280989e-12
100.0,4.0,500.0,3.0,1,3.0,0.03,4.77464829275686e-10,1.5287693762651632e-11
100.0,4.0,500.0,3.0,2,6.0,0.015,2.38732414637843e-10,1.837505434244807e-12
100.0,4.0,500.0,3.0,3,9.0,0.01,1.5915494309189535e-10,4.102966899710825e-13
100.0,4.0,500.0,3.0,4,12.0,0.0075,1.193662073189215e-10,1.2237214463270576e-13
100.0,4.0,500.0,3.0,5,15.0,0.006,9.549296585513721e-11,4.344556985123464e-14
100.0,4.0,1000.0,3.0,1,3.0,0.03,5.968310365946076e-11,6.118607231635288e-14
100.0,4.0,1000.0,3.0,2,6.0,0.015,2.984155182973038e-11,1.7678926351503389e-15
100.0,4.0,1000.0,3.0,3,9.0,0.01,1.989436788648692e-11,1.3221657660361347e-16
100.0,4.0,1000.0,3.0,4,12.0,0.0075,1.492077591486519e-11,1.568172236343024e-17
100.0,4.0,1000.0,3.0,5,15.0,0.006,1.1936620731892151e-11,2.4707546817661307e-18
100.0,4.0,3000.0,3.0,1,3.0,0.03,2.210485320720769e-12,2.3817225255639385e-21
100.0,4.0,3000.0,3.0,2,6.0,0.015,1.1052426603603844e-12,2.2980585434052174e-25
100.0,4.0,3000.0,3.0,3,9.0,0.01,7.368284402402563e-13,2.162886205306305e-28
100.0,4.0,3000.0,3.0,4,12.0,0.0075,5.526213301801922e-13,6.415561930681595e-31
100.0,4.0,3000.0,3.0,5,15.0,0.006,4.4209706414415377e-13,3.920688390359987e-33
300.0,4.0,10.0,3.0,1,3.0,0.03,0.00017904931097838226,0.00016714010314903527
300.0,4.0,10.0,3.0,2,6.0,0.015,8.952465548919113e-05,8.122112548858395e-05
300.0,4.0,10.0,3.0,3,9.0,0.01,5.968310365946076e-05,5.2975730859645034e-05
300.0,4.0,10.0,3.0,4,12.0,0.0075,4.4762327744595565e-05,3.900575479461495e-05
300.0,4.0,10.0,3.0,5,15.0,0.006,3.5809862195676456e-05,3.0701679384514815e-05
300.0,4.0,30.0,3.0,1,3.0,0.03,6.631455962162305e-06,5.3942730402063506e-06
300.0,4.0,30.0,3.0,2,6.0,0.015,3.3157279810811526e-06,2.476041553007662e-06
300.0,4.0,30.0,3.0,3,9.0,0.01,2.2104853207207687e-06,1.5458391715280945e-06
300.0,4.0,30.0,3.0,4,12.0,0.0075,1.6578639905405763e-06,1.0969756037861507e-06
300.0,4.0,30.0,3.0,5,15.0,0.006,1.326291192432461e-06,8.358288020813413e-07
300.0,4.0,50.0,3.0,1,3.0,0.03,1.432394487827058e-06,1.0153194361034831e-06
300.0,4.0,50.0,3.0,2,6.0,0.015,7.16197243913529e-07,4.4021452646105025e-07
300.0,4.0,50.0,3.0,3,9.0,0.01,4.77464829275686e-07,2.63068697499922e-07
300.0,4.0,50.0,3.0,4,12.0,0.0075,3.580986219567645e-07,1.799213774714621e-07
300.0,4.0,50.0,3.0,5,15.0,0.006,2.864788975654116e-07,1.3270584397653662e-07
300.0,4.0,100.0,3.0,1,3.0,0.03,1.7904931097838226e-07,8.996068873573104e-08
300.0,4.0,100.0,3.0,2,6.0,0.015,8.952465548919113e-08,3.382253124998133e-08
300.0,4.0,100.0,3.0,3,9.0,0.01,5.968310365946075e-08,1.8117863180961843e-08
300.0,4.0,100.0,3.0,4,12.0,0.0075,4.4762327744595564e-08,1.129985571235205e-08
300.0,4.0,100.0,3.0,5,15.0,0.006,3.580986219567645e-08,7.6841789985176e-09
300.0,4.0,300.0,3.0,1,3.0,0.03,6.631455962162305e-09,8.411031177971253e-10
300.0,4.0,300.0,3.0,2,6.0,0.015,3.3157279810811525e-09,1.7880071005315416e-10
