frequency_hz,sigma_s_per_m,skin_depth_m,R_m,attenuation
0.1,4.0,795.7747154594766,10.0,0.987512256523656
0.1,4.0,795.7747154594766,30.0,0.9630026533969749
0.1,4.0,795.7747154594766,50.0,0.9391013674242926
0.1,4.0,795.7747154594766,100.0,0.8819113782981763
0.1,4.0,795.7747154594766,300.0,0.6859221659341662
0.1,4.0,795.7747154594766,500.0,0.5334880910911032
0.1,4.0,795.7747154594766,1000.0,0.2846095433360292
0.1,4.0,795.7747154594766,3000.0,0.023054110763106813
0.3,4.0,459.4407461848267,10.0,0.9784695689032382
0.3,4.0,459.4407461848267,30.0,0.93678940446427
0.3,4.0,459.4407461848267,50.0,0.8968847026077577
0.3,4.0,459.4407461848267,100.0,0.8044021697718059
0.3,4.0,459.4407461848267,300.0,0.5204987611088292
0.3,4.0,459.4407461848267,500.0,0.3367954121663804
0.3,4.0,459.4407461848267,1000.0,0.11343114965632206
0.3,4.0,459.4407461848267,3000.0,0.001459476146750015
1.0,4.0,251.6460605224352,10.0,0.9610408596562702
1.0,4.0,251.6460605224352,30.0,0.8876168900651249
1.0,4.0,251.6460605224352,50.0,0.819802545971536
1.0,4.0,251.6460605224352,100.0,0.6720762143814124
1.0,4.0,251.6460605224352,300.0,0.30356771129629195
1.0,4.0,251.6460605224352,500.0,0.13711741818818568
1.0,4.0,251.6460605224352,1000.0,0.018801186370593793
1.0,4.0,251.6460605224352,3000.0,6.645930011851279e-06
2.0,4.0,177.94063585429427,10.0,0.9453514481259334
2.0,4.0,177.94063585429427,30.0,0.8448505310986456
2.0,4.0,177.94063585429427,50.0,0.7550339308334983
2.0,4.0,177.94063585429427,100.0,0.5700762367098839
2.0,4.0,177.94063585429427,300.0,0.18526731786014847
2.0,4.0,177.94063585429427,500.0,0.060209454204212004
2.0,4.0,177.94063585429427,1000.0,0.003625178375569102
2.0,4.0,177.94063585429427,3000.0,4.7641797870412885e-08
3.0,4.0,145.2879207831368,10.0,0.9334864358635546
3.0,4.0,145.2879207831368,30.0,0.813437210619348
3.0,4.0,145.2879207831368,50.0,0.7088266847799186
3.0,4.0,145.2879207831368,100.0,0.5024352690560902
3.0,4.0,145.2879207831368,300.0,0.12683536203758014
3.0,4.0,145.2879207831368,500.0,0.03201847094338458
3.0,4.0,145.2879207831368,1000.0,0.0010251824815523628
3.0,4.0,145.2879207831368,3000.0,1.0774658864449435e-09
5.0,4.0,112.53953951963827,10.0,0.914975803093201
5.0,4.0,112.53953951963827,30.0,0.7660001018412723
5.0,4.0,112.53953951963827,50.0,0.6412805169680226
5.0,4.0,112.53953951963827,100.0,0.4112407014427743
5.0,4.0,112.53953951963827,300.0,0.06954858103573876
5.0,4.0,112.53953951963827,500.0,0.011761980531389124
5.0,4.0,112.53953951963827,1000.0,0.00013834418602077676
5.0,4.0,112.53953951963827,3000.0,2.6477851206156725e-12
7.0,4.0,95.11327065021031,10.0,0.9002004666699557
7.0,4.0,95.11327065021031,30.0,0.7294872425206399
7.0,4.0,95.11327065021031,50.0,0.5911479239384486
7.0,4.0,95.11327065021031,100.0,0.34945586797673783
7.0,4.0,95.11327065021031,300.0,0.04267534220398639
7.0,4.0,95.11327065021031,500.0,0.005211487341081286
7.0,4.0,95.11327065021031,1000.0,2.7159600306250498e-05
7.0,4.0,95.11327065021031,3000.0,2.003411318802815e-14
10.0,4.0,79.57747154594767,10.0,0.8819113782981763
10.0,4.0,79.57747154594767,30.0,0.6859221659341663
10.0,4.0,79.57747154594767,50.0,0.5334880910911033
10.0,4.0,79.57747154594767,100.0,0.2846095433360293
10.0,4.0,79.57747154594767,300.0,0.023054110763106823
10.0,4.0,79.57747154594767,500.0,0.0018674427317079893
10.0,4.0,79.57747154594767,1000.0,3.4873423562089973e-06
10.0,4.0,79.57747154594767,3000.0,4.241151183016084e-17
30.0,4.0,45.944074618482674,10.0,0.8044021697718059
30.0,4.0,45.944074618482674,30.0,0.5204987611088293
30.0,4.0,45.944074618482674,50.0,0.3367954121663805
30.0,4.0,45.944074618482674,100.0,0.11343114965632212
30.0,4.0,45.944074618482674,300.0,0.001459476146750015
30.0,4.0,45.944074618482674,500.0,1.8778533316342462e-05
30.0,4.0,45.944074618482674,1000.0,3.526333135129838e-10
30.0,4.0,45.944074618482674,3000.0,4.385004203337332e-29
50.0,4.0,35.588127170858854,10.0,0.7550339308334983
50.0,4.0,35.588127170858854,30.0,0.4304269018778316
50.0,4.0,35.588127170858854,50.0,0.24537614840120872
50.0,4.0,35.588127170858854,100.0,0.060209454204212004
50.0,4.0,35.588127170858854,300.0,0.00021827001138592742
50.0,4.0,35.588127170858854,500.0,7.912677253114865e-07
50.0,4.0,35.588127170858854,1000.0,6.261046131196141e-13
50.0,4.0,35.588127170858854,3000.0,2.45437382666382e-37
100.0,4.0,25.16460605224352,10.0,0.6720762143814124
100.0,4.0,25.16460605224352,30.0,0.30356771129629195
100.0,4.0,25.16460605224352,50.0,0.13711741818818568
100.0,4.0,25.16460605224352,100.0,0.018801186370593793
100.0,4.0,25.16460605224352,300.0,6.645930011851279e-06
100.0,4.0,25.16460605224352,500.0,2.3492339712938373e-09
100.0,4.0,25.16460605224352,1000.0,5.518900251881014e-18
100.0,4.0,25.16460605224352,3000.0,1.6809609873183894e-52
