P0_a_m,sigma_s_per_m,m_n,frequency_hz,S_E_sqrt_v_per_m_sqrt_hz,T_int_s,gamma,E_min_v_per_m,Rmax_baseline_quasi_static_m,Rmax_optional_conservative_m
30.0,4.0,0.03,3.0,1e-12,10.0,2.0,6.324555320336758e-13,3047.760850804626,664.1232837588533
100.0,4.0,0.03,3.0,1e-12,10.0,2.0,6.324555320336758e-13,4552.749981055651,772.9213290828776
300.0,4.0,0.03,3.0,1e-12,10.0,2.0,6.324555320336758e-13,6566.201703894575,877.3165707413611
1000.0,4.0,0.03,3.0,1e-12,10.0,2.0,6.324555320336758e-13,9808.602494228297,996.6519510893982
3000.0,4.0,0.03,3.0,1e-12,10.0,2.0,6.324555320336758e-13,14146.452732616934,1109.510722689823
30.0,4.0,0.03,3.0,1e-12,100.0,2.0,2e-13,4473.501144698245,768.0329308721034
100.0,4.0,0.03,3.0,1e-12,100.0,2.0,2e-13,6682.523087859876,882.4349024002203
300.0,4.0,0.03,3.0,1e-12,100.0,2.0,2e-13,9637.86605203524,991.3312643371262
1000.0,4.0,0.03,3.0,1e-12,100.0,2.0,2e-13,14397.059557424298,1115.0096479141284
3000.0,4.0,0.03,3.0,1e-12,100.0,2.0,2e-13,20764.15296038536,1231.3618950523282
30.0,4.0,0.03,3.0,1e-12,1000.0,2.0,6.324555320336759e-14,6566.201703894574,877.3165707413611
100.0,4.0,0.03,3.0,1e-12,1000.0,2.0,6.324555320336759e-14,9808.602494228297,996.6519510893982
300.0,4.0,0.03,3.0,1e-12,1000.0,2.0,6.324555320336759e-14,14146.452732616934,1109.510722689823
1000.0,4.0,0.03,3.0,1e-12,1000.0,2.0,6.324555320336759e-14,21131.9934742987,1237.0181473772668
3000.0,4.0,0.03,3.0,1e-12,1000.0,2.0,6.324555320336759e-14,30477.608508046258,1356.4582396829448
30.0,4.0,0.03,3.0,1e-11,10.0,2.0,6.324555320336758e-12,1414.6452732616935,475.34764451519203
100.0,4.0,0.03,3.0,1e-11,10.0,2.0,6.324555320336758e-12,2113.19934742987,570.6358944552028
300.0,4.0,0.03,3.0,1e-11,10.0,2.0,6.324555320336758e-12,3047.760850804626,664.1232837588533
1000.0,4.0,0.03,3.0,1e-11,10.0,2.0,6.324555320336758e-12,4552.749981055651,772.9213290828776
3000.0,4.0,0.03,3.0,1e-11,10.0,2.0,6.324555320336758e-12,6566.201703894575,877.3165707413611
30.0,4.0,0.03,3.0,1e-11,100.0,2.0,2e-12,2076.4152960385363,566.303720246976
100.0,4.0,0.03,3.0,1e-11,100.0,2.0,2e-12,3101.752454496999,668.7506694298418
300.0,4.0,0.03,3.0,1e-11,100.0,2.0,2e-12,4473.501144698245,768.0329308721034
1000.0,4.0,0.03,3.0,1e-11,100.0,2.0,2e-12,6682.523087859876,882.4349024002203
3000.0,4.0,0.03,3.0,1e-11,100.0,2.0,2e-12,9637.86605203524,991.3312643371262
30.0,4.0,0.03,3.0,1e-11,1000.0,2.0,6.324555320336758e-13,3047.760850804626,664.1232837588533
100.0,4.0,0.03,3.0,1e-11,1000.0,2.0,6.324555320336758e-13,4552.749981055651,772.9213290828776
300.0,4.0,0.03,3.0,1e-11,1000.0,2.0,6.324555320336758e-13,6566.201703894575,877.3165707413611
1000.0,4.0,0.03,3.0,1e-11,1000.0,2.0,6.324555320336758e-13,9808.602494228297,996.6519510893982
3000.0,4.0,0.03,3.0,1e-11,1000.0,2.0,6.324555320336758e-13,14146.452732616934,1109.510722689823
30.0,4.0,0.03,3.0,1e-10,10.0,2.0,6.324555320336759e-11,656.6201703894575,317.1674864123089
100.0,4.0,0.03,3.0,1e-10,10.0,2.0,6.324555320336759e-11,980.8602494228297,395.68364792393743
300.0,4.0,0.03,3.0,1e-10,10.0,2.0,6.324555320336759e-11,1414.6452732616935,475.34764451519203
1000.0,4.0,0.03,3.0,1e-10,10.0,2.0,6.324555320336759e-11,2113.19934742987,570.6358944552028
3000.0,4.0,0.03,3.0,1e-10,10.0,2.0,6.324555320336759e-11,3047.760850804626,664.1232837588533
30.0,4.0,0.03,3.0,1e-10,100.0,2.0,2.0000000000000002e-11,963.7866052035241,392.0504570354188
100.0,4.0,0.03,3.0,1e-10,100.0,2.0,2.0000000000000002e-11,1439.7059557424298,479.3483796750354
300.0,4.0,0.03,3.0,1e-10,100.0,2.0,2.0000000000000002e-11,2076.415296038536,566.303720246976
1000.0,4.0,0.03,3.0,1e-10,100.0,2.0,2.0000000000000002e-11,3101.752454496999,668.7506694298418
3000.0,4.0,0.03,3.0,1e-10,100.0,2.0,2.0000000000000002e-11,4473.501144698245,768.0329308721034
30.0,4.0,0.03,3.0,1e-10,1000.0,2.0,6.324555320336759e-12,1414.6452732616935,475.34764451519203
100.0,4.0,0.03,3.0,1e-10,1000.0,2.0,6.324555320336759e-12,2113.19934742987,570.6358944552028
300.0,4.0,0.03,3.0,1e-10,1000.0,2.0,6.324555320336759e-12,3047.760850804626,664.1232837588533
1000.0,4.0,0.03,3.0,1e-10,1000.0,2.0,6.324555320336759e-12,4552.749981055651,772.9213290828776
3000.0,4.0,0.03,3.0,1e-10,1000.0,2.0,6.324555320336759e-12,6566.201703894574,877.316570741361
30.0,4.0,0.03,3.0,1e-09,10.0,2.0,6.324555320336759e-10,304.7760850804626,194.89093368539494
100.0,4.0,0.03,3.0,1e-09,10.0,2.0,6.324555320336759e-10,455.27499810556515,254.1310469723321
300.0,4.0,0.03,3.0,1e-09,10.0,2.0,6.324555320336759e-10,656.6201703894575,317.1674864123089
1000.0,4.0,0.03,3.0,1e-09,10.0,2.0,6.324555320336759e-10,980.8602494228297,395.68364792393743
3000.0,4.0,0.03,3.0,1e-09,10.0,2.0,6.324555320336759e-10,1414.6452732616935,475.34764451519203
30.0,4.0,0.03,3.0,1e-09,100.0,2.0,2e-10,447.3501144698246,251.32196454821644
100.0,4.0,0.03,3.0,1e-09,100.0,2.0,2e-10,668.2523087859877,320.4006488944841
300.0,4.0,0.03,3.0,1e-09,100.0,2.0,2e-10,963.7866052035242,392.0504570354188
1000.0,4.0,0.03,3.0,1e-09,100.0,2.0,2e-10,1439.7059557424298,479.3483796750354
3000.0,4.0,0.03,3.0,1e-09,100.0,2.0,2e-10,2076.4152960385363,566.303720246976
30.0,4.0,0.03,3.0,1e-09,1000.0,2.0,6.324555320336759e-11,656.6201703894575,317.1674864123089
100.0,4.0,0.03,3.0,1e-09,1000.0,2.0,6.324555320336759e-11,980.8602494228297,395.68364792393743
300.0,4.0,0.03,3.0,1e-09,1000.0,2.0,6.324555320336759e-11,1414.6452732616935,475.34764451519203
1000.0,4.0,0.03,3.0,1e-09,1000.0,2.0,6.324555320336759e-11,2113.19934742987,570.6358944552028
3000.0,4.0,0.03,3.0,1e-09,1000.0,2.0,6.324555320336759e-11,3047.760850804626,664.1232837588533
