observable_id,P0_a_m,R_m,field_region,frequency_hz,model,direction,E_equatorial_v_per_m,E_rms_v_per_m,E_axial_v_per_m,E_min_v_per_m,E_max_v_per_m,E_optional_conservative_v_per_m,relative_to_static_equatorial_db,deltaV_1m_min_v,deltaV_1m_max_v,interpretation
UEP_result_signature_static_P0,30.0,30.0,near_intermediate_estimate_R_lt_3L,0.0,baseline_quasi_static_far_field_dipole,range_equatorial_to_axial,2.2104853207207685e-05,3.1260983199899516e-05,4.420970641441537e-05,2.2104853207207685e-05,4.420970641441537e-05,2.2104853207207685e-05,0.0,2.2104853207207685e-05,4.420970641441537e-05,"UEP is treated as the resulting signature of P0=P_corr+P_SACP+P_ICCP, not as an independent additive source."
shaft_modulation_n1,30.0,30.0,near_intermediate_estimate_R_lt_3L,3.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,6.631455962162305e-07,9.378294959969854e-07,1.326291192432461e-06,6.631455962162305e-07,1.326291192432461e-06,5.39427304020635e-07,-30.45757490560675,6.631455962162305e-07,1.326291192432461e-06,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n2,30.0,30.0,near_intermediate_estimate_R_lt_3L,6.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,3.3157279810811527e-07,4.689147479984927e-07,6.631455962162305e-07,3.3157279810811527e-07,6.631455962162305e-07,2.4760415530076626e-07,-36.47817481888638,3.3157279810811527e-07,6.631455962162305e-07,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n3,30.0,30.0,near_intermediate_estimate_R_lt_3L,9.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,2.2104853207207685e-07,3.1260983199899517e-07,4.420970641441537e-07,2.2104853207207685e-07,4.420970641441537e-07,1.5458391715280945e-07,-40.0,2.2104853207207685e-07,4.420970641441537e-07,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n4,30.0,30.0,near_intermediate_estimate_R_lt_3L,12.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.6578639905405763e-07,2.3445737399924635e-07,3.3157279810811527e-07,1.6578639905405763e-07,3.3157279810811527e-07,1.0969756037861508e-07,-42.498774732166,1.6578639905405763e-07,3.3157279810811527e-07,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n5,30.0,30.0,near_intermediate_estimate_R_lt_3L,15.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.326291192432461e-07,1.875658991993971e-07,2.652582384864922e-07,1.326291192432461e-07,2.652582384864922e-07,8.358288020813413e-08,-44.43697499232713,1.326291192432461e-07,2.652582384864922e-07,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
UEP_result_signature_static_P0,30.0,50.0,near_intermediate_estimate_R_lt_3L,0.0,baseline_quasi_static_far_field_dipole,range_equatorial_to_axial,4.774648292756861e-06,6.752372371178296e-06,9.549296585513721e-06,4.774648292756861e-06,9.549296585513721e-06,4.774648292756861e-06,0.0,4.774648292756861e-06,9.549296585513721e-06,"UEP is treated as the resulting signature of P0=P_corr+P_SACP+P_ICCP, not as an independent additive source."
shaft_modulation_n1,30.0,50.0,near_intermediate_estimate_R_lt_3L,3.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.432394487827058e-07,2.0257117113534888e-07,2.864788975654116e-07,1.432394487827058e-07,2.864788975654116e-07,1.0153194361034831e-07,-30.45757490560675,1.432394487827058e-07,2.864788975654116e-07,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n2,30.0,50.0,near_intermediate_estimate_R_lt_3L,6.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,7.16197243913529e-08,1.0128558556767444e-07,1.432394487827058e-07,7.16197243913529e-08,1.432394487827058e-07,4.4021452646105025e-08,-36.47817481888638,7.16197243913529e-08,1.432394487827058e-07,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n3,30.0,50.0,near_intermediate_estimate_R_lt_3L,9.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,4.7746482927568606e-08,6.752372371178297e-08,9.549296585513721e-08,4.7746482927568606e-08,9.549296585513721e-08,2.6306869749992204e-08,-40.0,4.7746482927568606e-08,9.549296585513721e-08,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n4,30.0,50.0,near_intermediate_estimate_R_lt_3L,12.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,3.580986219567645e-08,5.064279278383722e-08,7.16197243913529e-08,3.580986219567645e-08,7.16197243913529e-08,1.799213774714621e-08,-42.498774732166,3.580986219567645e-08,7.16197243913529e-08,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n5,30.0,50.0,near_intermediate_estimate_R_lt_3L,15.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,2.8647889756541166e-08,4.0514234227069777e-08,5.729577951308233e-08,2.8647889756541166e-08,5.729577951308233e-08,1.3270584397653664e-08,-44.43697499232712,2.8647889756541166e-08,5.729577951308233e-08,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
UEP_result_signature_static_P0,30.0,100.0,near_intermediate_estimate_R_lt_3L,0.0,baseline_quasi_static_far_field_dipole,range_equatorial_to_axial,5.968310365946076e-07,8.44046546397287e-07,1.1936620731892152e-06,5.968310365946076e-07,1.1936620731892152e-06,5.968310365946076e-07,0.0,5.968310365946076e-07,1.1936620731892152e-06,"UEP is treated as the resulting signature of P0=P_corr+P_SACP+P_ICCP, not as an independent additive source."
shaft_modulation_n1,30.0,100.0,near_intermediate_estimate_R_lt_3L,3.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.7904931097838226e-08,2.532139639191861e-08,3.580986219567645e-08,1.7904931097838226e-08,3.580986219567645e-08,8.996068873573105e-09,-30.45757490560675,1.7904931097838226e-08,3.580986219567645e-08,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n2,30.0,100.0,near_intermediate_estimate_R_lt_3L,6.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,8.952465548919113e-09,1.2660698195959305e-08,1.7904931097838226e-08,8.952465548919113e-09,1.7904931097838226e-08,3.382253124998133e-09,-36.47817481888638,8.952465548919113e-09,1.7904931097838226e-08,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n3,30.0,100.0,near_intermediate_estimate_R_lt_3L,9.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,5.968310365946076e-09,8.44046546397287e-09,1.1936620731892151e-08,5.968310365946076e-09,1.1936620731892151e-08,1.8117863180961846e-09,-40.0,5.968310365946076e-09,1.1936620731892151e-08,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
