P_a_m,sigma_s_per_m,R_m,E_v_per_m,E_uV_per_m
30.0,4.0,10.0,0.0005968310365946076,596.8310365946076
30.0,4.0,30.0,2.2104853207207685e-05,22.104853207207686
30.0,4.0,50.0,4.774648292756861e-06,4.7746482927568605
30.0,4.0,100.0,5.968310365946076e-07,0.5968310365946076
30.0,4.0,300.0,2.2104853207207686e-08,0.022104853207207686
30.0,4.0,500.0,4.77464829275686e-09,0.00477464829275686
30.0,4.0,1000.0,5.968310365946075e-10,0.0005968310365946075
30.0,4.0,3000.0,2.2104853207207687e-11,2.210485320720769e-05
100.0,4.0,10.0,0.0019894367886486917,1989.4367886486918
100.0,4.0,30.0,7.368284402402561e-05,73.68284402402561
100.0,4.0,50.0,1.5915494309189534e-05,15.915494309189533
100.0,4.0,100.0,1.9894367886486917e-06,1.9894367886486917
100.0,4.0,300.0,7.368284402402562e-08,0.07368284402402561
100.0,4.0,500.0,1.5915494309189534e-08,0.015915494309189534
100.0,4.0,1000.0,1.9894367886486918e-09,0.0019894367886486917
100.0,4.0,3000.0,7.368284402402563e-11,7.368284402402563e-05
300.0,4.0,10.0,0.005968310365946076,5968.310365946076
300.0,4.0,30.0,0.00022104853207207686,221.04853207207685
300.0,4.0,50.0,4.77464829275686e-05,47.7464829275686
300.0,4.0,100.0,5.968310365946075e-06,5.968310365946075
300.0,4.0,300.0,2.2104853207207685e-07,0.22104853207207684
300.0,4.0,500.0,4.77464829275686e-08,0.0477464829275686
300.0,4.0,1000.0,5.968310365946075e-09,0.005968310365946075
300.0,4.0,3000.0,2.2104853207207688e-10,0.00022104853207207688
1000.0,4.0,10.0,0.019894367886486918,19894.367886486918
1000.0,4.0,30.0,0.0007368284402402562,736.8284402402562
1000.0,4.0,50.0,0.00015915494309189535,159.15494309189535
1000.0,4.0,100.0,1.989436788648692e-05,19.89436788648692
1000.0,4.0,300.0,7.368284402402562e-07,0.7368284402402562
1000.0,4.0,500.0,1.5915494309189535e-07,0.15915494309189535
1000.0,4.0,1000.0,1.989436788648692e-08,0.019894367886486918
1000.0,4.0,3000.0,7.368284402402563e-10,0.0007368284402402563
3000.0,4.0,10.0,0.05968310365946076,59683.10365946076
3000.0,4.0,30.0,0.002210485320720769,2210.485320720769
3000.0,4.0,50.0,0.000477464829275686,477.46482927568604
3000.0,4.0,100.0,5.968310365946075e-05,59.683103659460755
3000.0,4.0,300.0,2.2104853207207687e-06,2.210485320720769
3000.0,4.0,500.0,4.77464829275686e-07,0.477464829275686
3000.0,4.0,1000.0,5.968310365946075e-08,0.05968310365946075
3000.0,4.0,3000.0,2.210485320720769e-09,0.002210485320720769
