"distance_m","frequency_hz","source_type","assumed_common_mode_voltage_rms_V","normE_V_per_m","sensor_axis_E_V_per_m","ratio_to_50hz_normE","normE_per_Vcm_per_m"
"2","30","balanced_fundamental","NaN","0.0686725597576873","0.0425042326518085","0.600060021133379","NaN"
"2","50","balanced_fundamental","NaN","0.114442817950078","0.0708240375403418","1","NaN"
"2","4000","vfd_common_mode_pwm","100","0.123357674059353","0.106773134470748","1.07789790804665","0.00123357674059353"
"2","8000","vfd_common_mode_pwm","50","0.0616994792602159","0.0500047428870369","0.539129325591496","0.00123398958520432"
"2","12000","vfd_common_mode_pwm","25","0.0308990840341241","0.022904378128339","0.269995833618872","0.00123596336136496"
"3","30","balanced_fundamental","NaN","0.0278084180497392","0.0162511610578478","0.600063234774939","NaN"
"3","50","balanced_fundamental","NaN","0.0463424793224819","0.0270795265962933","1","NaN"
"3","4000","vfd_common_mode_pwm","100","0.0382617063200148","0.0343747949643079","0.825629247277952","0.000382617063200148"
"3","8000","vfd_common_mode_pwm","50","0.0186060165604402","0.0159435823781786","0.401489450552853","0.000372120331208804"
"3","12000","vfd_common_mode_pwm","25","0.00909687856701739","0.00731668657508811","0.196296760553427","0.000363875142680696"
"4","30","balanced_fundamental","NaN","0.0165535287164606","0.00522227627711835","0.599949901056409","NaN"
"4","50","balanced_fundamental","NaN","0.0275915183706384","0.00870239586854512","1","NaN"
"4","4000","vfd_common_mode_pwm","100","0.024271249293351","0.00795505528733854","0.879663415666871","0.00024271249293351"
"4","8000","vfd_common_mode_pwm","50","0.0118071252400202","0.003606098679036","0.427925896698197","0.000236142504800404"
"4","12000","vfd_common_mode_pwm","25","0.0057427795996818","0.00167034568945283","0.208135685848771","0.000229711183987272"
