2025-11-24 17:00:05-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162903.533095.csv
2025-11-24 17:00:05-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:06-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162906.736537.csv
2025-11-24 17:00:06-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:06-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162909.933040.csv
2025-11-24 17:00:06-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:06-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162913.134751.csv
2025-11-24 17:00:06-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:07-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162916.334492.csv
2025-11-24 17:00:07-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162919.534518.csv
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162922.737775.csv
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162925.935060.csv
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162929.135450.csv
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162932.334040.csv
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162935.537338.csv
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162938.734941.csv
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162941.936832.csv
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162945.132579.csv
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162948.333959.csv
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162951.535988.csv
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162954.733310.csv
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162957.934569.csv
2025-11-24 17:00:08-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:09-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111163001.136524.csv
2025-11-24 17:00:09-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 17:00:09-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111163001.136524.csv, 数据长度: 100000
2025-11-24 17:00:09-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111163001.136524.csv, 通道数: 8
2025-11-24 17:00:09-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162903.533095.csv, 数据长度: 1600000
2025-11-24 17:00:09-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162903.533095.csv, 通道数: 8
2025-11-24 17:00:10-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162909.933040.csv, 数据长度: 1600000
2025-11-24 17:00:10-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162909.933040.csv, 通道数: 8
2025-11-24 17:00:10-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162906.736537.csv, 数据长度: 1600000
2025-11-24 17:00:10-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162906.736537.csv, 通道数: 8
2025-11-24 17:00:10-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162913.134751.csv, 数据长度: 1600000
2025-11-24 17:00:10-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162913.134751.csv, 通道数: 8
2025-11-24 17:00:10-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162916.334492.csv, 数据长度: 1600000
2025-11-24 17:00:10-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162916.334492.csv, 通道数: 8
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:147]-  已写入 49999/49999 行FFT数据
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:149]-已处理: 20251111163001.136524.csv -> D:/Lab/process/2025.11.11/frequency\GROUP2\FFT_20251111163001.136524.csv
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162925.935060.csv, 数据长度: 1600000
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162925.935060.csv, 通道数: 8
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162932.334040.csv, 数据长度: 1600000
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162932.334040.csv, 通道数: 8
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162922.737775.csv, 数据长度: 1600000
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162922.737775.csv, 通道数: 8
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162919.534518.csv, 数据长度: 1600000
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162941.936832.csv, 通道数: 8
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162919.534518.csv, 通道数: 8
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162938.734941.csv, 数据长度: 1600000
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162938.734941.csv, 通道数: 8
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162935.537338.csv, 数据长度: 1600000
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162929.135450.csv, 数据长度: 1600000
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162935.537338.csv, 通道数: 8
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162929.135450.csv, 通道数: 8
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162957.934569.csv, 数据长度: 1600000
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162945.132579.csv, 数据长度: 1600000
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162957.934569.csv, 通道数: 8
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162945.132579.csv, 通道数: 8
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162951.535988.csv, 数据长度: 1600000
2025-11-24 17:00:11-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162951.535988.csv, 通道数: 8
2025-11-24 17:00:12-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162954.733310.csv, 数据长度: 1600000
2025-11-24 17:00:12-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162954.733310.csv, 通道数: 8
2025-11-24 17:00:12-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111162948.333959.csv, 数据长度: 1600000
2025-11-24 17:00:12-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111162948.333959.csv, 通道数: 8
2025-11-24 17:00:15-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:15-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:15-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:16-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:16-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:20-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:20-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:20-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:20-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:20-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:20-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:21-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:21-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:21-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:21-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:21-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:21-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:21-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2025-11-24 17:00:21-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:21-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:22-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:22-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:22-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:23-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:23-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:23-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:24-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:24-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:24-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:24-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:24-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:24-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:24-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:24-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:24-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:24-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2025-11-24 17:00:24-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:24-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:24-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:25-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:25-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:29-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:29-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:29-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:29-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:29-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:29-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:29-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:29-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:30-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:30-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:30-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:30-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:30-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:30-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2025-11-24 17:00:30-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:30-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:30-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:31-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:32-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:32-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:32-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:32-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:32-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:32-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:32-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:32-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:32-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:32-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:32-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:33-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:33-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2025-11-24 17:00:33-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2025-11-24 17:00:33-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2025-11-24 17:00:33-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
