2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161634.934035.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161638.134949.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161641.335227.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161644.534299.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161650.936288.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161647.733148.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161654.133815.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161657.332589.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161700.535144.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161703.736152.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161706.936906.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161710.134401.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161713.334197.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161716.534160.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161719.736773.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161722.937210.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161726.134814.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161729.334125.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161732.536553.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161738.935403.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161735.737496.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161742.134913.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161745.334812.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161748.533627.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161751.736184.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161754.935566.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161758.134829.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP1\20251111161801.333804.csv
2026-02-25 15:29:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2026-02-25 15:29:06-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161634.934035.csv, 数据长度: 1600000
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161634.934035.csv, 通道数: 8
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161654.133815.csv, 数据长度: 1600000
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161644.534299.csv, 数据长度: 1600000
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161710.134401.csv, 数据长度: 1600000
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161713.334197.csv, 通道数: 8
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161641.335227.csv, 通道数: 8
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161638.134949.csv, 通道数: 8
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161647.733148.csv, 通道数: 8
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161644.534299.csv, 通道数: 8
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161657.332589.csv, 数据长度: 1600000
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161657.332589.csv, 通道数: 8
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161650.936288.csv, 数据长度: 1600000
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161650.936288.csv, 通道数: 8
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161716.534160.csv, 数据长度: 1600000
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161716.534160.csv, 通道数: 8
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161754.935566.csv, 数据长度: 1600000
2026-02-25 15:29:07-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161754.935566.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161703.736152.csv, 数据长度: 1600000
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161703.736152.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161700.535144.csv, 数据长度: 1600000
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161700.535144.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161729.334125.csv, 数据长度: 1600000
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161729.334125.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161751.736184.csv, 数据长度: 1600000
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161748.533627.csv, 数据长2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161801.333804.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161751.736184.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161722.937210.csv, 数据长度: 1600000
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161748.533627.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161722.937210.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161726.134814.csv, 数据长度: 1600000
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161726.134814.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161706.936906.csv, 数据长度: 1600000
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161706.936906.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161719.736773.csv, 数据长度: 1600000
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161719.736773.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161732.536553.csv, 数据长度: 1600000
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161732.536553.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161738.935403.csv, 数据长度: 1600000
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161738.935403.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161745.334812.csv, 数据长度: 1600000
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161745.334812.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161735.737496.csv, 数据长度: 1600000
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161735.737496.csv, 通道数: 8
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:91]-成功读取文件: 20251111161742.134913.csv, 数据长度: 1600000
2026-02-25 15:29:08-INFO-[tdms_reader_frequency.py:101]-处理文件: 20251111161742.134913.csv, 通道数: 8
2026-02-25 15:29:14-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2026-02-25 15:29:14-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2026-02-25 15:29:15-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2026-02-25 15:29:15-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2026-02-25 15:29:15-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2026-02-25 15:29:15-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2026-02-25 15:29:15-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2026-02-25 15:29:15-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2026-02-25 15:29:15-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2026-02-25 15:29:15-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2026-02-25 15:29:15-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
2026-02-25 15:29:15-INFO-[tdms_reader_frequency.py:147]-  已写入 100000/799999 行FFT数据
